Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\WAVEFORM_GENERATOR\Project Outputs for WAVEFORM_GENERATOR\Pick Place for WaveformGen.csv

========================================================================================================================
File Design Information:

Date:       31/10/25
Time:       14:13
Revision:   23a98a34cb2300f0b471061a4c213c9b918cbc3a
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"U2","MIC5317-3.3YM5-TR","TopLayer","FP-SOT23-5LD-PL-1-MFG","3870.000","3505.000","0","IC REG LINEAR 3.3V 150MA SOT23-5"
"J4","217175-0001","TopLayer","FP-217175-0001-MFG","4225.000","4062.087","180","CONN RCP USB2.0 C 6+18P SMD RA"
"Y1","CFPS-72-24MHz","TopLayer","WE-SPXO_CFPS-72","4550.000","3230.000","180","831019082 WE-SPXO Crystal Oscillator"
"U4","LM358P","TopLayer","P0008A","4065.000","2930.000","180","Dual Operational Amplifier, 3 to 32 V, 0 to 70 degC, 8-Pin PDIP (P), RoHS, Tape and Reel"
"U3","AD9833BRMZ","TopLayer","ADI-RM-10_M","4467.677","2994.685","180","Low Power, 12.65 mW, 2.3 V to 5.5 V, Programmable Waveform Generator, 10-Bit, Serial, RM-10, 50 Tube, Pb-Free"
"U1","STM32F030C8T6","TopLayer","STM-LQFP48_M","3408.268","3039.724","90","ARM Cortex-M0 32-bit MCU, 64 KB Flash, 8 KB Internal RAM, 39 I/Os, 48-Pin LQFP, -40 to 85 degC, Tape and Reel"
"SW5","PTS647SK38SMTR2LFS","TopLayer","FP-PTS647SK38SMTR2LFS-MFG","2570.000","2560.000","90","TACT 4.5 X 4.5, 3.8 MM H, 2.5N,"
"SW4","PTS647SK38SMTR2LFS","TopLayer","FP-PTS647SK38SMTR2LFS-MFG","3331.417","1903.543","180","TACT 4.5 X 4.5, 3.8 MM H, 2.5N,"
"SW3","PTS647SK38SMTR2LFS","TopLayer","FP-PTS647SK38SMTR2LFS-MFG","3331.417","2231.324","180","TACT 4.5 X 4.5, 3.8 MM H, 2.5N,"
"SW2","PTS647SK38SMTR2LFS","TopLayer","FP-PTS647SK38SMTR2LFS-MFG","2928.071","1905.551","180","TACT 4.5 X 4.5, 3.8 MM H, 2.5N,"
"SW1","PTS647SK38SMTR2LFS","TopLayer","FP-PTS647SK38SMTR2LFS-MFG","2924.724","2232.559","180","TACT 4.5 X 4.5, 3.8 MM H, 2.5N,"
"PT1","PT01-D130K2-B203","TopLayer","TRIM_PT01-D130K2-B203","4596.772","1982.205","0",""
"R13","1k","TopLayer","FP-MCU0805-IPC_B","4395.000","2870.000","180","RES 1.05K OHM 0.5% 1/5W 0805"
"R12","620","TopLayer","FP-TFCR0603-IPC_B","5050.000","2575.000","180","RES Thin Film,  620O, 0.25%, 0.1W, 25ppm/°C, 0603"
"R11","1.5k","TopLayer","FP-TFCR0402-IPC_B","5070.000","2655.000","180","RES Thin Film,  1.5kO, 1%, 0.063W, 100ppm/°C, 0402"
"R10","6.8k","TopLayer","FP-RMCF0805-MFG","5040.000","2745.000","180","6.8kO ±5% 0.125W 0805 Thick Film Chip Resistor AEC-Q200 compliant"
"R9","10k","TopLayer","FP-AT0805-IPC_C","3480.000","4045.000","0","Thin Film Chip Resistors Automotive Grade 10kO 0.1% 50ppm/°C 0805"
"R8","5.1k","TopLayer","FP-TFCR0603-IPC_A","4478.425","3740.000","0","RES Thin Film,  5.1kO, 0.25%, 0.1W, 25ppm/°C, 0603"
"R7","5.1k","TopLayer","FP-TFCR0603-IPC_A","4475.000","3835.000","0","RES Thin Film,  5.1kO, 0.25%, 0.1W, 25ppm/°C, 0603"
"R6","6.8k","TopLayer","FP-RMCF0805-MFG","5043.661","2835.000","0","6.8kO ±5% 0.125W 0805 Thick Film Chip Resistor AEC-Q200 compliant"
"R4","10k","TopLayer","FP-AT0805-IPC_C","4500.000","4008.425","270","Thin Film Chip Resistors Automotive Grade 10kO 0.1% 50ppm/°C 0805"
"R3","54.9k","TopLayer","FP-TFCR0603-IPC_C","3485.000","3955.000","180","RES Thin Film,  54.9kO, 0.25%, 0.1W, 50ppm/°C, 0603"
"R2","10k","TopLayer","FP-TFCR0402-IPC_B","3640.000","2785.000","90","RES Thin Film,  10kO, 0.1%, 0.063W, 50ppm/°C, 0402"
"R1","10k","TopLayer","FP-TFCR0402-IPC_B","3115.000","3055.000","180","RES Thin Film,  10kO, 0.1%, 0.063W, 50ppm/°C, 0402"
"Q1","NCH 60V 6A","TopLayer","SOT-323F_2-2U1S_UFM_TOS","4250.000","3610.000","180","N-ch MOSFET, 60 V, 6.0 A, 0.036 Î©@10V, SOT-323F(UFM)"
"L1","6.8uH","TopLayer","FP-LQH3NPH_ME-MFG","3795.000","4005.000","0","Wire Wound Ferrite Inductor for Power Lines For Automotive 6.8µH ±20% 0.168O 1450mA 1212"
"J5","691137710005","TopLayer","691137710005","5190.000","3418.701","90",""
"J3","691137710002","TopLayer","691137710002","5185.158","2160.000","90",""
"J2","61300811821","TopLayer","61300811821","3795.000","2515.000","0",""
"J1","61300511821","TopLayer","61300511821","2535.000","3070.000","270",""
"IC3","ICL7662CBA+T","TopLayer","SOIC127P600X175-8N","3162.500","3815.000","270","Integrated Circuit"
"IC2","IP2721","TopLayer","SOP65P640X120-16N","4235.000","3790.000","0","Integrated Circuit"
"IC1","LMR16006YQ5DDCRQ1","TopLayer","SOT95P280X110-6N","3610.000","4000.787","270","Integrated Circuit"
"ENC1","PEC12R-4225F-S0024","TopLayer","FP-PEC12R-4225F-S0024-MFG","3930.433","2076.575","90","ROTARY ENCODER MECHANICAL 24PPR"
"C20","10uF Tantalum","TopLayer","FP-293DB-MFG","4700.000","2852.087","90","CAP TANT 10UF 10% 20V 1411"
"D10","LEDG","TopLayer","FP-LTST-C170GKT-MFG","5190.000","2575.000","180","LED GREEN CLEAR SMD"
"D9","30V 1A","TopLayer","1SS357TPH3F","4955.000","3220.000","90","Schottky Diode"
"D8","LEDG","TopLayer","FP-LTST-C170GKT-MFG","5188.661","2660.000","180","LED GREEN CLEAR SMD"
"D7","30V 1A","TopLayer","1SS357TPH3F","4954.724","3420.000","90","Schottky Diode"
"D6","LEDG","TopLayer","FP-LTST-C170GKT-MFG","5187.047","2743.425","180","LED GREEN CLEAR SMD"
"D5","30V 1A","TopLayer","1SS357TPH3F","4955.000","3620.000","90","Schottky Diode"
"D4","LEDG","TopLayer","FP-LTST-C170GKT-MFG","4500.000","4155.000","270","LED GREEN CLEAR SMD"
"D3","LEDG","TopLayer","FP-LTST-C170GKT-MFG","5190.000","2835.000","180","LED GREEN CLEAR SMD"
"D2","30V 1A","TopLayer","1SS357TPH3F","3645.000","3835.000","180","Schottky Diode"
"D1","30V 1A","TopLayer","1SS357TPH3F","4970.000","3810.000","270","Schottky Diode"
"C19","100nF","TopLayer","CAPC1608X87X45LL20T05","4655.000","3020.000","270","Ceramic 100nF X7R 16V 5%"
"C18","100uF","TopLayer","FP-C1206C-EB-MFG","4125.000","3195.000","180","C1206 0.10 µF C0G 10.00% 25 V X7R"
"C17","10nF","TopLayer","FP-C0201-AB-MFG","4515.000","2875.000","90","C0201 10,000 pF X5R 30ppm/°C 10.00% 10 V"
"C16","100uF","TopLayer","FP-C1206C-EB-MFG","3970.000","2680.000","0","C1206 0.10 µF C0G 10.00% 25 V X7R"
"C15","100uF","TopLayer","FP-C1206C-EB-MFG","4755.000","3210.000","270","C1206 0.10 µF C0G 10.00% 25 V X7R"
"C14","10uF","TopLayer","VISH-293D-E_L","3175.000","3555.000","180","Tantalum Capacitor, 10 uF, +/- 10%, 50 V, -55 to 125 degC, 2-Pin SMD (7343-43), RoHS, Tape and Reel"
"C13","1uF","TopLayer","CAPC1206(3216)130_N","3720.000","3490.000","90","CAP 1uF 10V ±5% 1206 (3216 Metric) Thickness 1.3mm SMD"
"C12","10uF","TopLayer","VISH-293D-E_L","3155.000","4105.000","180","Tantalum Capacitor, 10 uF, +/- 10%, 50 V, -55 to 125 degC, 2-Pin SMD (7343-43), RoHS, Tape and Reel"
"C11","1uF","TopLayer","CAPC1206(3216)130_N","4000.000","3479.055","90","CAP 1uF 10V ±5% 1206 (3216 Metric) Thickness 1.3mm SMD"
"C10","1uF","TopLayer","FP-CGA5L-0_3-0_1-IPC_B","4020.000","3785.000","270","Cap Ceramic 1uF 25V X7R 20% Pad SMD 1206 +125°C Automotive T/R"
"C9","2.2uF","TopLayer","FP-C0402-BB-MFG","3585.000","3859.252","270","C0402 2,200 pF C0G 0.02 25 V"
"C8","10uF","TopLayer","FP-CL21-IPC_A","3807.220","3823.527","180","CL21 Series 0805 10uF 25V ±10% Tolerance X5R Multilayer Ceramic Chip Capacitor"
"C7","100uF","TopLayer","FP-C1206C-EB-MFG","3700.000","4155.000","180","C1206 0.10 µF C0G 10.00% 25 V X7R"
"C6","100nF","TopLayer","CAPC1608X87X45LL20T05","3580.000","2785.000","90","Ceramic 100nF X7R 16V 5%"
"C5","10nF","TopLayer","CAPC1206(3216)150_L","3460.000","2785.000","0","CAP 10nF 10V ±5% 1206 (3216 Metric) Thickness 1.45mm SMD"
"C4","100nF","TopLayer","CAPC1608X87X45LL20T05","3167.250","2939.608","270","Ceramic 100nF X7R 16V 5%"
"C3","100nF","TopLayer","CAPC1608X87X45LL20T05","3285.000","2790.000","0","Ceramic 100nF X7R 16V 5%"
"C2","100nF","TopLayer","CAPC1608X87X45LL20T05","3660.000","3165.000","90","Ceramic 100nF X7R 16V 5%"
"C1","4.7uF","TopLayer","FP-GRM219-0_15-0_1-IPC_B","3080.000","2940.000","270","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 4.7uF, X5R, 15%, 20%, 25V"
